Numero;Sexo;Estado Civil;Edad;Grado Academico;Estado Academico;Provincia;Partido Politico;Genero;Respuesta
25;F;C;51;Primaria;Incompleta;Puntarenas;Liberación Nacional;Homosexual;S
26;F;D;38;Primaria;Incompleta;Heredia;Republicano Social Cristiano;Pansexual;S
27;F;U;50;Universitaria;Completa;Alajuela;Frente Amplio;Pansexual;S
28;M;U;33;Universitaria;Incompleta;Heredia;Accesibilidad sin Exclusión;Pansexual;N
29;M;U;31;Universitaria;Incompleta;Guanacaste;Partido Integración Nacional;Hetrosexual;N
30;M;C;34;Universitaria;Completa;Heredia;Movimiento Libertario;Homosexual;S
31;F;S;45;Universitaria;Incompleta;Cartago;Partido Integración Nacional;Transexual;N
32;M;U;27;Primaria;Completa;Limón;Liberación Nacional;Demisexual;N
33;F;U;47;Universitaria;Completa;Heredia;Acción Ciudadana;Pansexual;N
34;M;V;25;Primaria;Incompleta;Puntarenas;Accesibilidad sin Exclusión;Asexual;N
35;M;D;53;Secundaria;Completa;Puntarenas;Republicano Social Cristiano;Hetrosexual;N
36;M;V;33;Primaria;Completa;Puntarenas;Frente Amplio;Hetrosexual;N
37;M;U;54;Primaria;Completa;Cartago;Accesibilidad sin Exclusión;Graysexual;S
38;M;C;35;Universitaria;Completa;Cartago;Unidad Social Cristiana;Hetrosexual;N
39;M;C;61;Primaria;Incompleta;Cartago;Partido Integración Nacional;Hetrosexual;N
40;F;V;53;Secundaria;Completa;Alajuela;Frente Amplio;Graysexual;N
41;M;U;61;Primaria;Completa;Puntarenas;Acción Ciudadana;Hetrosexual;N
42;F;C;49;Universitaria;Incompleta;Heredia;Acción Ciudadana;Graysexual;N
43;F;S;24;Primaria;Completa;San José;Frente Amplio;Homosexual;N
44;M;U;42;Secundaria;Incompleta;Alajuela;Movimiento Libertario;Antrosexual;S
45;M;S;45;Universitaria;Completa;Heredia;Accesibilidad sin Exclusión;Hetrosexual;N
46;F;V;25;Secundaria;Completa;Limón;Republicano Social Cristiano;Antrosexual;N
47;F;C;35;Primaria;Completa;Puntarenas;Liberación Nacional;Metrosexual;N
48;F;S;31;Secundaria;Completa;Puntarenas;Movimiento Libertario;Graysexual;S
49;M;C;52;Educación;Técnica;Guanacaste;Republicano Social Cristiano;Transexual;N
50;M;V;61;Secundaria;Completa;San José;Accesibilidad sin Exclusión;Homosexual;N
51;F;S;49;Secundaria;Incompleta;Limón;Renovación Costarricense;Antrosexual;N
52;M;D;21;Universitaria;Completa;Limón;Republicano Social Cristiano;Antrosexual;N
53;F;C;63;Universitaria;Incompleta;Heredia;Partido Integración Nacional;Pansexual;N
54;M;S;22;Primaria;Completa;San José;Partido Integración Nacional;Homosexual;N
55;F;S;31;Primaria;Completa;Guanacaste;Acción Ciudadana;Antrosexual;N
56;F;U;64;Primaria;Completa;San José;Accesibilidad sin Exclusión;Asexual;N
57;F;S;52;Primaria;Completa;Heredia;Partido Integración Nacional;Demisexual;S
58;M;C;18;Primaria;Completa;Puntarenas;Republicano Social Cristiano;Pansexual;N
59;M;S;44;Primaria;Incompleta;Guanacaste;Renovación Costarricense;Homosexual;N
60;F;V;36;Educación;Técnica;Guanacaste;Partido Integración Nacional;Bisexual;N
61;M;U;44;Educación;Técnica;Limón;Unidad Social Cristiana;Antrosexual;S
62;M;S;48;Primaria;Incompleta;Heredia;Movimiento Libertario;Graysexual;N
63;M;U;20;Primaria;Completa;Limón;Partido Integración Nacional;Homosexual;S
64;F;V;49;Primaria;Incompleta;Puntarenas;Frente Amplio;Metrosexual;S
65;F;S;48;Universitaria;Completa;Cartago;Movimiento Libertario;Demisexual;S
66;F;C;62;Secundaria;Incompleta;Guanacaste;Liberación Nacional;Hetrosexual;N
67;F;U;44;Secundaria;Incompleta;Heredia;Accesibilidad sin Exclusión;Graysexual;S
68;F;U;42;No;Aplica;Cartago;Republicano Social Cristiano;Metrosexual;N
69;M;C;34;Universitaria;Completa;Cartago;Unidad Social Cristiana;Transexual;N
70;M;S;46;Primaria;Incompleta;Guanacaste;Frente Amplio;Homosexual;S
71;M;V;22;Educación;Técnica;Cartago;Accesibilidad sin Exclusión;Asexual;N
72;M;D;62;No;Aplica;Heredia;Acción Ciudadana;Transexual;S
73;F;V;42;Secundaria;Completa;Heredia;Partido Integración Nacional;Demisexual;N
74;M;U;30;Universitaria;Completa;Puntarenas;Partido Integración Nacional;Asexual;S
75;M;S;41;Secundaria;Completa;Puntarenas;Frente Amplio;Metrosexual;S
76;F;S;39;Primaria;Completa;Cartago;Unidad Social Cristiana;Asexual;N
77;M;S;51;Secundaria;Completa;Guanacaste;Republicano Social Cristiano;Graysexual;S
78;F;V;62;Primaria;Completa;Alajuela;Partido Integración Nacional;Transexual;N
79;M;V;52;Secundaria;Incompleta;San José;Accesibilidad sin Exclusión;Antrosexual;N
80;F;U;62;Universitaria;Incompleta;Guanacaste;Republicano Social Cristiano;Hetrosexual;N
81;F;D;32;Secundaria;Incompleta;Alajuela;Accesibilidad sin Exclusión;Demisexual;S
82;F;V;29;Secundaria;Completa;Limón;Unidad Social Cristiana;Transexual;N
83;M;D;37;Secundaria;Completa;San José;Partido Integración Nacional;Hetrosexual;S
84;F;C;26;Secundaria;Completa;Puntarenas;Accesibilidad sin Exclusión;Pansexual;S
85;M;S;28;Secundaria;Incompleta;Limón;Renovación Costarricense;Transexual;N
86;M;S;56;Primaria;Incompleta;Puntarenas;Accesibilidad sin Exclusión;Demisexual;S
87;M;S;64;Universitaria;Completa;Heredia;Unidad Social Cristiana;Transexual;S
88;F;D;58;Universitaria;Completa;San José;Renovación Costarricense;Antrosexual;N
89;M;C;56;Secundaria;Incompleta;Limón;Republicano Social Cristiano;Metrosexual;S
90;M;U;35;Secundaria;Incompleta;Guanacaste;Accesibilidad sin Exclusión;Demisexual;N
91;M;V;33;Primaria;Incompleta;San José;Renovación Costarricense;Homosexual;S
92;M;C;34;Primaria;Completa;Heredia;Liberación Nacional;Transexual;S
93;M;C;31;Educación;Técnica;Guanacaste;Accesibilidad sin Exclusión;Demisexual;S
94;M;C;38;Universitaria;Incompleta;Puntarenas;Acción Ciudadana;Demisexual;S
95;M;U;34;Primaria;Completa;Cartago;Acción Ciudadana;Homosexual;N
96;F;D;45;Secundaria;Incompleta;Limón;Acción Ciudadana;Pansexual;N
97;F;V;38;Universitaria;Incompleta;Puntarenas;Renovación Costarricense;Transexual;S
98;F;C;30;Universitaria;Completa;San José;Acción Ciudadana;Demisexual;S
99;M;S;34;Primaria;Completa;Heredia;Acción Ciudadana;Antrosexual;N
100;F;S;57;Primaria;Completa;Heredia;Accesibilidad sin Exclusión;Metrosexual;S
101;M;C;51;No;Aplica;Limón;Liberación Nacional;Homosexual;S
102;F;U;29;Educación;Técnica;Guanacaste;Partido Integración Nacional;Antrosexual;S
103;M;S;45;Educación;Técnica;Limón;Republicano Social Cristiano;Homosexual;S
104;F;S;26;Primaria;Completa;Guanacaste;Frente Amplio;Transexual;S
105;M;U;55;Educación;Técnica;Limón;Partido Integración Nacional;Hetrosexual;S
106;F;C;37;Secundaria;Incompleta;Guanacaste;Liberación Nacional;Bisexual;S
107;M;U;61;Universitaria;Completa;Heredia;Unidad Social Cristiana;Bisexual;S
108;F;D;57;Primaria;Incompleta;San José;Liberación Nacional;Demisexual;N
109;M;C;26;No;Aplica;Limón;Liberación Nacional;Demisexual;N
110;M;C;28;Universitaria;Completa;Alajuela;Frente Amplio;Asexual;S
111;F;U;60;Universitaria;Incompleta;Alajuela;Frente Amplio;Homosexual;N
112;M;C;30;Universitaria;Completa;Guanacaste;Movimiento Libertario;Bisexual;S
113;F;V;39;Secundaria;Completa;Heredia;Frente Amplio;Hetrosexual;S
114;M;U;43;Universitaria;Completa;Puntarenas;Frente Amplio;Demisexual;S
115;F;U;60;Educación;Técnica;Heredia;Renovación Costarricense;Pansexual;N
116;M;D;58;Educación;Técnica;Limón;Unidad Social Cristiana;Asexual;N
117;M;U;35;Secundaria;Completa;San José;Accesibilidad sin Exclusión;Bisexual;S
118;M;D;32;Secundaria;Completa;Cartago;Accesibilidad sin Exclusión;Antrosexual;N
119;F;C;38;Universitaria;Incompleta;Limón;Renovación Costarricense;Asexual;S
120;F;V;45;Educación;Técnica;Heredia;Frente Amplio;Asexual;S
121;F;C;25;Educación;Técnica;San José;Frente Amplio;Demisexual;S
122;F;V;20;Secundaria;Incompleta;Cartago;Unidad Social Cristiana;Antrosexual;N
123;M;D;59;Secundaria;Incompleta;Alajuela;Republicano Social Cristiano;Hetrosexual;S
124;F;U;39;No;Aplica;Limón;Republicano Social Cristiano;Graysexual;S
125;M;V;47;Primaria;Incompleta;Cartago;Accesibilidad sin Exclusión;Demisexual;N
126;M;D;27;Universitaria;Completa;Cartago;Acción Ciudadana;Asexual;N
127;F;D;36;Educación;Técnica;Limón;Partido Integración Nacional;Pansexual;S
128;M;V;61;Educación;Técnica;Limón;Partido Integración Nacional;Homosexual;S
129;M;C;43;Secundaria;Incompleta;Heredia;Unidad Social Cristiana;Antrosexual;S
130;F;U;18;No;Aplica;Alajuela;Renovación Costarricense;Metrosexual;N
131;F;S;46;Universitaria;Completa;Puntarenas;Frente Amplio;Hetrosexual;S
132;M;V;33;No;Aplica;Heredia;Frente Amplio;Metrosexual;N
133;F;D;55;Primaria;Completa;Guanacaste;Movimiento Libertario;Transexual;N
134;M;D;34;Secundaria;Incompleta;San José;Acción Ciudadana;Transexual;N
135;F;S;48;No;Aplica;Guanacaste;Unidad Social Cristiana;Graysexual;N
136;F;D;52;Secundaria;Completa;Alajuela;Unidad Social Cristiana;Metrosexual;S
137;F;S;56;Secundaria;Incompleta;Guanacaste;Renovación Costarricense;Demisexual;N
138;M;D;64;Educación;Técnica;Limón;Frente Amplio;Homosexual;N
139;F;C;53;Universitaria;Completa;Limón;Acción Ciudadana;Homosexual;S
140;F;D;62;Educación;Técnica;Heredia;Republicano Social Cristiano;Pansexual;N
141;M;V;37;Secundaria;Incompleta;Limón;Frente Amplio;Pansexual;S
142;F;V;52;Primaria;Completa;Guanacaste;Accesibilidad sin Exclusión;Bisexual;N
143;F;V;55;Universitaria;Completa;Guanacaste;Accesibilidad sin Exclusión;Pansexual;N
144;F;U;22;Primaria;Completa;Puntarenas;Renovación Costarricense;Graysexual;N
145;F;U;48;Secundaria;Completa;Heredia;Unidad Social Cristiana;Bisexual;N
146;M;U;29;No;Aplica;Limón;Accesibilidad sin Exclusión;Homosexual;S
147;M;U;34;No;Aplica;Limón;Accesibilidad sin Exclusión;Metrosexual;S
148;F;S;60;Universitaria;Completa;Puntarenas;Movimiento Libertario;Metrosexual;N
149;F;C;19;Primaria;Incompleta;San José;Renovación Costarricense;Metrosexual;N
150;F;D;43;Secundaria;Incompleta;Limón;Renovación Costarricense;Homosexual;S
151;F;S;20;Primaria;Completa;Guanacaste;Movimiento Libertario;Bisexual;S
152;F;U;61;Primaria;Incompleta;Puntarenas;Renovación Costarricense;Asexual;S
153;F;V;23;Universitaria;Completa;Limón;Liberación Nacional;Transexual;N
154;F;C;26;Primaria;Incompleta;Heredia;Liberación Nacional;Transexual;N
155;F;U;53;Educación;Técnica;Guanacaste;Acción Ciudadana;Antrosexual;N
156;F;V;37;Primaria;Completa;Cartago;Liberación Nacional;Transexual;S
157;M;D;46;Primaria;Incompleta;Puntarenas;Accesibilidad sin Exclusión;Transexual;N
158;F;U;51;No;Aplica;Cartago;Unidad Social Cristiana;Demisexual;S
159;F;D;56;Secundaria;Incompleta;Puntarenas;Partido Integración Nacional;Hetrosexual;S
160;M;D;60;Universitaria;Completa;Cartago;Frente Amplio;Metrosexual;S
161;M;C;57;No;Aplica;Alajuela;Acción Ciudadana;Antrosexual;N
162;M;U;41;Universitaria;Incompleta;San José;Partido Integración Nacional;Transexual;S
163;F;C;18;Primaria;Incompleta;Limón;Frente Amplio;Asexual;S
164;M;D;33;Universitaria;Incompleta;Limón;Partido Integración Nacional;Graysexual;N
165;F;U;53;Universitaria;Incompleta;Guanacaste;Republicano Social Cristiano;Hetrosexual;S
166;F;V;25;Universitaria;Incompleta;San José;Partido Integración Nacional;Demisexual;S
167;M;D;44;Secundaria;Incompleta;Puntarenas;Acción Ciudadana;Antrosexual;N
168;F;U;29;Primaria;Incompleta;San José;Frente Amplio;Bisexual;S
169;F;U;64;Secundaria;Incompleta;Limón;Partido Integración Nacional;Graysexual;N
170;M;C;25;Primaria;Incompleta;Cartago;Partido Integración Nacional;Demisexual;S
171;M;C;19;Universitaria;Completa;Limón;Movimiento Libertario;Demisexual;S
172;M;C;28;Secundaria;Completa;San José;Liberación Nacional;Bisexual;N
173;M;S;35;No;Aplica;San José;Frente Amplio;Antrosexual;N
174;M;D;42;Secundaria;Incompleta;Heredia;Liberación Nacional;Asexual;N
175;M;C;19;Educación;Técnica;Alajuela;Frente Amplio;Asexual;S
176;F;V;50;Secundaria;Incompleta;Cartago;Renovación Costarricense;Pansexual;S
177;F;U;42;Secundaria;Incompleta;San José;Republicano Social Cristiano;Asexual;N
178;M;S;54;Secundaria;Completa;Alajuela;Renovación Costarricense;Metrosexual;N
179;M;C;41;Secundaria;Completa;Guanacaste;Accesibilidad sin Exclusión;Metrosexual;S
180;M;U;61;Primaria;Incompleta;Guanacaste;Partido Integración Nacional;Hetrosexual;N
181;M;C;18;No;Aplica;Alajuela;Liberación Nacional;Demisexual;S
182;F;U;53;Secundaria;Incompleta;Cartago;Republicano Social Cristiano;Bisexual;S
183;M;S;45;Educación;Técnica;San José;Unidad Social Cristiana;Bisexual;S
184;M;D;54;Universitaria;Completa;Guanacaste;Republicano Social Cristiano;Demisexual;S
185;M;V;46;Secundaria;Incompleta;Heredia;Renovación Costarricense;Homosexual;N
186;F;S;56;Educación;Técnica;San José;Movimiento Libertario;Bisexual;N
187;F;C;30;Primaria;Completa;Puntarenas;Acción Ciudadana;Homosexual;N
188;F;U;60;Primaria;Completa;Heredia;Liberación Nacional;Bisexual;S
189;M;C;28;Primaria;Incompleta;Cartago;Republicano Social Cristiano;Homosexual;S
190;F;U;28;Secundaria;Incompleta;Limón;Partido Integración Nacional;Metrosexual;S
191;M;C;49;Secundaria;Completa;San José;Acción Ciudadana;Pansexual;N
192;M;S;26;No;Aplica;Guanacaste;Liberación Nacional;Metrosexual;S
193;F;D;38;Universitaria;Completa;Limón;Movimiento Libertario;Homosexual;N
194;F;V;53;Universitaria;Incompleta;Puntarenas;Frente Amplio;Bisexual;N
195;M;S;49;Universitaria;Incompleta;San José;Acción Ciudadana;Demisexual;S
196;F;V;36;Educación;Técnica;Alajuela;Republicano Social Cristiano;Bisexual;S
197;M;U;23;No;Aplica;Guanacaste;Unidad Social Cristiana;Hetrosexual;N
198;F;S;24;Educación;Técnica;Guanacaste;Liberación Nacional;Homosexual;N
199;M;C;23;Secundaria;Completa;San José;Movimiento Libertario;Graysexual;N
200;F;C;21;Secundaria;Incompleta;Heredia;Frente Amplio;Antrosexual;N
201;F;V;45;Primaria;Completa;Guanacaste;Partido Integración Nacional;Antrosexual;N
202;F;V;21;Primaria;Incompleta;Cartago;Movimiento Libertario;Graysexual;S
203;F;V;64;Secundaria;Completa;Limón;Unidad Social Cristiana;Hetrosexual;N
204;F;S;63;Universitaria;Incompleta;Heredia;Renovación Costarricense;Antrosexual;S
205;F;C;20;Educación;Técnica;Alajuela;Liberación Nacional;Asexual;S
206;F;S;61;Universitaria;Completa;San José;Unidad Social Cristiana;Transexual;N
207;F;S;40;Primaria;Completa;Puntarenas;Frente Amplio;Bisexual;N
208;F;C;63;Secundaria;Completa;Limón;Accesibilidad sin Exclusión;Asexual;N
209;F;D;32;Primaria;Incompleta;Heredia;Liberación Nacional;Metrosexual;N
210;F;D;57;Primaria;Incompleta;Puntarenas;Frente Amplio;Graysexual;S
211;F;D;23;Educación;Técnica;Guanacaste;Movimiento Libertario;Metrosexual;S
212;F;S;25;Universitaria;Incompleta;Limón;Republicano Social Cristiano;Hetrosexual;S
213;M;U;38;Universitaria;Completa;Alajuela;Accesibilidad sin Exclusión;Homosexual;S
214;M;C;47;No;Aplica;Puntarenas;Frente Amplio;Bisexual;S
215;F;C;55;Secundaria;Incompleta;Limón;Frente Amplio;Asexual;N
216;F;C;60;Universitaria;Completa;Guanacaste;Republicano Social Cristiano;Asexual;S
217;M;U;26;Primaria;Incompleta;Guanacaste;Republicano Social Cristiano;Homosexual;S
218;M;C;26;Primaria;Incompleta;Heredia;Partido Integración Nacional;Transexual;N
219;M;V;55;Secundaria;Incompleta;Heredia;Renovación Costarricense;Hetrosexual;S
220;M;V;45;No;Aplica;Limón;Liberación Nacional;Transexual;N
221;M;D;39;Secundaria;Incompleta;Guanacaste;Movimiento Libertario;Graysexual;S
222;F;D;32;Primaria;Completa;San José;Unidad Social Cristiana;Homosexual;S
223;F;S;42;No;Aplica;Cartago;Frente Amplio;Homosexual;N
224;M;S;34;Educación;Técnica;San José;Movimiento Libertario;Transexual;S
225;M;S;37;Secundaria;Incompleta;Guanacaste;Liberación Nacional;Transexual;S
226;F;U;30;Universitaria;Incompleta;Puntarenas;Partido Integración Nacional;Demisexual;S
227;F;S;56;Secundaria;Completa;Guanacaste;Unidad Social Cristiana;Antrosexual;N
228;M;S;28;Primaria;Completa;Puntarenas;Movimiento Libertario;Metrosexual;S
229;M;D;27;Secundaria;Incompleta;Guanacaste;Movimiento Libertario;Hetrosexual;S
230;F;C;31;Secundaria;Incompleta;Cartago;Unidad Social Cristiana;Graysexual;S
231;F;C;20;Primaria;Completa;Limón;Renovación Costarricense;Hetrosexual;S
232;M;V;52;Primaria;Completa;Heredia;Frente Amplio;Asexual;N
233;M;C;18;Secundaria;Completa;Puntarenas;Movimiento Libertario;Pansexual;N
234;M;D;30;No;Aplica;Puntarenas;Frente Amplio;Antrosexual;S
235;F;U;49;Primaria;Incompleta;Guanacaste;Renovación Costarricense;Pansexual;S
236;F;U;21;No;Aplica;Limón;Partido Integración Nacional;Demisexual;N
237;M;S;63;Secundaria;Completa;Puntarenas;Movimiento Libertario;Homosexual;N
238;F;V;36;Secundaria;Incompleta;Alajuela;Partido Integración Nacional;Metrosexual;N
239;F;D;19;Secundaria;Incompleta;Cartago;Liberación Nacional;Bisexual;N
240;F;D;31;Secundaria;Completa;San José;Frente Amplio;Hetrosexual;S
241;M;D;31;Universitaria;Incompleta;Guanacaste;Accesibilidad sin Exclusión;Pansexual;S
242;M;U;28;Universitaria;Completa;Heredia;Republicano Social Cristiano;Antrosexual;N
243;F;D;40;Primaria;Incompleta;Guanacaste;Renovación Costarricense;Antrosexual;N
244;F;S;38;Educación;Técnica;Cartago;Acción Ciudadana;Demisexual;S
245;F;D;41;Universitaria;Completa;Alajuela;Liberación Nacional;Pansexual;S
246;M;U;37;Secundaria;Incompleta;San José;Partido Integración Nacional;Bisexual;N
247;F;U;52;Educación;Técnica;Limón;Movimiento Libertario;Bisexual;N
248;M;D;54;No;Aplica;Alajuela;Republicano Social Cristiano;Metrosexual;S
249;F;V;51;Secundaria;Completa;San José;Acción Ciudadana;Asexual;S
250;F;S;45;Educación;Técnica;Guanacaste;Liberación Nacional;Metrosexual;S
251;F;U;59;No;Aplica;Cartago;Republicano Social Cristiano;Antrosexual;S
252;M;U;55;Primaria;Completa;Puntarenas;Unidad Social Cristiana;Asexual;S
253;M;D;33;No;Aplica;Cartago;Unidad Social Cristiana;Graysexual;S
254;M;U;31;Universitaria;Incompleta;Guanacaste;Republicano Social Cristiano;Asexual;S
255;M;C;27;Universitaria;Completa;Alajuela;Accesibilidad sin Exclusión;Metrosexual;S
256;M;D;51;Secundaria;Incompleta;Cartago;Renovación Costarricense;Demisexual;N
257;M;V;61;Universitaria;Completa;Alajuela;Liberación Nacional;Pansexual;S
258;M;C;54;Primaria;Completa;Guanacaste;Partido Integración Nacional;Metrosexual;S
259;F;S;23;Secundaria;Incompleta;Heredia;Liberación Nacional;Pansexual;S
260;F;D;26;Primaria;Incompleta;Cartago;Liberación Nacional;Hetrosexual;N
261;F;U;53;Educación;Técnica;Heredia;Frente Amplio;Demisexual;S
262;F;C;42;Educación;Técnica;Limón;Acción Ciudadana;Metrosexual;N
263;M;D;57;Primaria;Completa;Alajuela;Republicano Social Cristiano;Homosexual;N
264;M;V;62;Universitaria;Completa;Guanacaste;Frente Amplio;Graysexual;S
265;M;V;48;Educación;Técnica;Puntarenas;Accesibilidad sin Exclusión;Antrosexual;N
266;M;S;40;Primaria;Incompleta;Guanacaste;Accesibilidad sin Exclusión;Antrosexual;N
267;F;S;51;Educación;Técnica;Cartago;Accesibilidad sin Exclusión;Bisexual;N
268;M;U;41;Secundaria;Completa;Guanacaste;Republicano Social Cristiano;Demisexual;S
269;M;S;34;Secundaria;Incompleta;Cartago;Republicano Social Cristiano;Demisexual;S
270;F;D;35;Primaria;Completa;San José;Unidad Social Cristiana;Metrosexual;N
271;M;U;55;Secundaria;Completa;Heredia;Frente Amplio;Homosexual;S
272;M;D;49;Educación;Técnica;Alajuela;Partido Integración Nacional;Graysexual;N
273;M;V;46;Secundaria;Completa;Puntarenas;Renovación Costarricense;Antrosexual;N
274;F;C;61;Secundaria;Completa;Limón;Partido Integración Nacional;Hetrosexual;S
275;F;V;51;No;Aplica;Puntarenas;Movimiento Libertario;Bisexual;N
276;M;C;32;Primaria;Incompleta;San José;Accesibilidad sin Exclusión;Antrosexual;S
277;F;D;38;Educación;Técnica;Limón;Unidad Social Cristiana;Transexual;N
278;F;S;39;Educación;Técnica;San José;Accesibilidad sin Exclusión;Graysexual;N
279;F;U;41;Universitaria;Completa;Limón;Unidad Social Cristiana;Transexual;N
280;M;U;35;Secundaria;Completa;Cartago;Republicano Social Cristiano;Metrosexual;N
281;M;D;37;Primaria;Incompleta;Alajuela;Republicano Social Cristiano;Metrosexual;N
282;F;V;30;Universitaria;Incompleta;Puntarenas;Movimiento Libertario;Bisexual;S
283;M;C;30;Universitaria;Incompleta;Guanacaste;Movimiento Libertario;Demisexual;N
284;F;C;54;Universitaria;Completa;Alajuela;Renovación Costarricense;Demisexual;N
285;F;D;36;Primaria;Incompleta;Puntarenas;Frente Amplio;Pansexual;S
286;M;D;39;No;Aplica;San José;Republicano Social Cristiano;Graysexual;N
287;M;V;44;Secundaria;Completa;Heredia;Accesibilidad sin Exclusión;Homosexual;S
288;M;U;28;Secundaria;Incompleta;Guanacaste;Partido Integración Nacional;Demisexual;S
289;F;S;18;Universitaria;Completa;Puntarenas;Partido Integración Nacional;Antrosexual;N
290;M;V;40;Universitaria;Completa;Puntarenas;Frente Amplio;Antrosexual;N
291;M;S;28;Universitaria;Completa;Alajuela;Republicano Social Cristiano;Pansexual;S
292;M;V;31;Primaria;Incompleta;Limón;Frente Amplio;Graysexual;S
293;F;S;51;No;Aplica;Guanacaste;Accesibilidad sin Exclusión;Pansexual;S
294;M;S;40;Secundaria;Incompleta;Guanacaste;Acción Ciudadana;Asexual;S
295;F;S;31;Universitaria;Incompleta;Guanacaste;Frente Amplio;Antrosexual;S
296;M;U;38;Universitaria;Completa;Heredia;Acción Ciudadana;Metrosexual;S
297;F;U;31;No;Aplica;Limón;Frente Amplio;Asexual;N
298;M;V;48;Secundaria;Incompleta;San José;Frente Amplio;Demisexual;S
299;F;V;53;No;Aplica;Puntarenas;Frente Amplio;Transexual;S
300;M;S;41;Primaria;Incompleta;Heredia;Republicano Social Cristiano;Transexual;N
301;F;V;48;Secundaria;Completa;Puntarenas;Partido Integración Nacional;Transexual;N
302;M;U;54;Universitaria;Incompleta;Limón;Frente Amplio;Metrosexual;S
303;F;V;44;No;Aplica;San José;Frente Amplio;Asexual;S
304;F;V;32;Primaria;Completa;Guanacaste;Renovación Costarricense;Antrosexual;S
305;F;U;41;Secundaria;Completa;Heredia;Partido Integración Nacional;Hetrosexual;N
306;F;C;59;Primaria;Incompleta;Heredia;Partido Integración Nacional;Homosexual;N
307;M;D;19;Primaria;Completa;San José;Frente Amplio;Asexual;S
308;F;D;18;No;Aplica;Heredia;Acción Ciudadana;Demisexual;S
309;M;D;42;Secundaria;Incompleta;Heredia;Partido Integración Nacional;Transexual;S
310;F;S;36;Secundaria;Completa;Limón;Accesibilidad sin Exclusión;Metrosexual;N
311;M;S;28;Primaria;Completa;San José;Liberación Nacional;Hetrosexual;S
312;M;V;26;Primaria;Incompleta;Limón;Unidad Social Cristiana;Transexual;S
313;M;V;44;Secundaria;Incompleta;San José;Liberación Nacional;Hetrosexual;S
314;F;U;27;Universitaria;Completa;Alajuela;Movimiento Libertario;Transexual;S
315;M;C;55;Secundaria;Incompleta;Alajuela;Republicano Social Cristiano;Demisexual;N
316;F;D;55;Secundaria;Incompleta;Heredia;Frente Amplio;Bisexual;N
317;M;V;49;Secundaria;Incompleta;San José;Acción Ciudadana;Bisexual;N
318;F;U;57;Secundaria;Completa;Alajuela;Partido Integración Nacional;Antrosexual;S
319;M;V;27;Secundaria;Incompleta;Alajuela;Accesibilidad sin Exclusión;Metrosexual;S
320;F;V;47;Secundaria;Incompleta;Limón;Acción Ciudadana;Asexual;N
321;F;C;36;Secundaria;Completa;Limón;Accesibilidad sin Exclusión;Transexual;N
322;F;D;26;Educación;Técnica;Cartago;Accesibilidad sin Exclusión;Asexual;S
323;F;V;22;Secundaria;Completa;Limón;Frente Amplio;Graysexual;S
324;F;D;52;No;Aplica;San José;Partido Integración Nacional;Transexual;S
325;M;C;33;Secundaria;Completa;Cartago;Accesibilidad sin Exclusión;Demisexual;S
326;F;D;32;No;Aplica;Heredia;Partido Integración Nacional;Asexual;N
327;F;V;22;Primaria;Completa;Cartago;Renovación Costarricense;Graysexual;N
328;F;U;34;Universitaria;Incompleta;Heredia;Acción Ciudadana;Antrosexual;S
